"title","firstname","middlename","lastname","name_suffix","nickname","party","state","district","in_office","gender","phone","fax","website","webform","congress_office","bioguide_id","votesmart_id","fec_id","govtrack_id","crp_id","twitter_id","congresspedia_url","youtube_url","facebook_id","official_rss","senate_class","birthdate"
"Sen","Scott","P.","Brown","","","R","MA","Junior Seat","1","M","202-224-4543","","http://www.scottbrown.senate.gov","http://www.scottbrown.senate.gov/public/index.cfm/emailscottbrown","359 Dirksen Senate Office Building","B001268","18919","S0MA00109","412384","N00031174","USSenScottBrown","http://www.opencongress.org/wiki/Scott_Brown","http://www.youtube.com/ussenatorscottbrown","141799555838816","","I","09/12/1959"
"Rep","Lou","","Barletta","","","R","PA","11","1","M","202-225-6511","202-225-0764","http://barletta.house.gov/","","510 Cannon House Office Building","B001269","47143","H2PA11098","412469","N00025495","RepLouBarletta","http://www.opencongress.org/wiki/Lou_Barletta","http://www.youtube.com/RepLouBarletta","loujbarletta","","","01/28/1956"
"Rep","Karen","","Bass","","","D","CA","33","1","F","202-225-7084","202- 225-2422","http://karenbass.house.gov/","","408 Cannon House Office Building","B001270","28963","H0CA33117","412404","N00031877","RepKarenBass","http://www.opencongress.org/wiki/Karen_Bass","http://www.youtube.com/user/RepKarenBass","","","","10/03/1953"
"Rep","Dan","","Benishek","","","R","MI","1","1","M","202-225-4735","202- 225-4744","http://benishek.house.gov/","","514 Cannon House Office Building","B001271","123056","H0MI01088","412436","N00031934","CongressmanDan","http://www.opencongress.org/wiki/Dan_Benishek","","CongressmanDan","","","04/20/1952"
"Rep","Rick","","Berg","","","R","ND","0","1","M","202-225-2611","202-226-0893","http://berg.house.gov/","","323 Cannon House Office Building","B001272","7693","H0ND00135","412458","N00031629","RepRickBerg","http://www.opencongress.org/wiki/Rick_Berg","http://www.youtube.com/reprickberg","RepRickBerg","","","08/16/1959"
"Rep","Diane","","Black","","","R","TN","6","1","F","202-225-4231","202- 225-6887","http://black.house.gov/","","1531 Longworth House Office Building","B001273","25292","H0TN06257","412478","N00031539","RepDianeBlack","http://www.opencongress.org/wiki/Diane_Black","","","","","01/16/1951"
"Rep","Mo","","Brooks","","","R","AL","5","1","M","202-225-4801","202-225-4392","http://brooks.house.gov/","","1641 Longworth House Office Building","B001274","121610","H0AL05163","412395","N00030910","RepMoBrooks","http://www.opencongress.org/wiki/Mo_Brooks","http://www.youtube.com/user/RepMoBrooks","155220881193244","","","04/29/1954"
"Rep","Larry","","Bucshon","","","R","IN","8","1","M","202-225-4636","202-225-3284","http://bucshon.house.gov/","","1123 Longworth House Office Building","B001275","120335","H0IN08114","412427","N00031227","RepLarryBucshon","http://www.opencongress.org/wiki/Larry_Bucshon","","RepLarryBucshon","","","05/31/1962"
"Rep","Ann","","Buerkle","","","R","NY","25","1","F","202-225-3701","202-225-4042","http://buerkle.house.gov/","","1630 Longworth House Office Building","B001276","127047","H0NY25078","412456","N00031640","RepBuerkle","http://www.opencongress.org/wiki/Ann_Marie_Buerkle","","","","","05/08/1951"
"Sen","Richard","","Blumenthal","","","D","CT","Junior Seat","1","M","202-224-2823","","http://www.blumenthal.senate.gov","http://www.blumenthal.senate.gov/contact/","702 Hart Senate Office Building","B001277","1568","S0CT00177","412490","N00031685","SenBlumenthal","http://www.opencongress.org/wiki/Richard_Blumenthal","http://www.youtube.com/SenatorBlumenthal","dickblumenthal","","III","02/13/1946"
"Rep","Suzanne","","Bonamici","","","D","OR","1","1","F","","","http://bonamici.house.gov/","https://bonamici.house.gov/contact-me","2338 Rayburn House Office Building","B001278","59641","H2OR01133","412501","N00033474","","http://www.opencongress.org/wiki/Suzanne_Bonamici","","","","","10/14/1954"
"Rep","Ron","","Barber","","","D","AZ","8","1","M","202-225-2542","202-225-0378","http://barber.house.gov/","https://barber.house.gov/contact-me/email-me","1030 Longworth House Office Building","B001279","137292","H2AZ08094","412502","N00033981","","http://www.opencongress.org/wiki/Ron_Barber","","","","","8/25/1945"
"Rep","Ken","S.","Calvert","","","R","CA","44","1","M","202-225-1986","202-225-2004","http://calvert.house.gov/","http://calvert.house.gov/awenhnjafe.asp","2269 Rayburn House Office Building","C000059","26777","H2CA37023","400057","N00007099","KenCalvert","http://www.opencongress.org/wiki/Ken_Calvert","http://www.youtube.com/RepKenCalvert","70063393423","","","06/08/1953"
